move-body-part,"wave, sit, stand, dance, move, go, come, walk"
expel,"expel, vomit, reject"
propel,"propel, throw, push"
see,see
smell,smell
move-object,"move, transfer"
think-about,"ponder, think, consider"
ingest,consume
speak,"speak, converse, say"
hear,hear
feel,feel
have,"have, possess, own"
conclude,"conclude, decide"
be,"be, was, is, was, were, am"
